Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,26287,7791,510
c_benchmarks/clang-19595,12625,6379,310
c_benchmarks/clang-20680,17912,10349,364
c_benchmarks/clang-21467,16502,8041,428
c_benchmarks/clang-21582,49992,7368,1072
c_benchmarks/clang-22337,14701,2777,320
c_benchmarks/clang-22382,11301,1094,203
c_benchmarks/clang-22704,10329,9384,114
c_benchmarks/clang-23309,49278,5915,1161
c_benchmarks/clang-23353,11843,2552,175
c_benchmarks/clang-25900,17348,2148,523
c_benchmarks/clang-26350,37071,16132,669
c_benchmarks/clang-26760,18287,5373,292
c_benchmarks/clang-27137,42333,26913,610
c_benchmarks/clang-27747,11489,1524,332
c_benchmarks/clang-31259,18296,4686,585
c_benchmarks/gcc-58731,11288,6297,418
c_benchmarks/gcc-59903,31387,4675,746
c_benchmarks/gcc-60116,56837,6933,1192
c_benchmarks/gcc-60452,28523,3729,659
c_benchmarks/gcc-61047,15763,1999,565
c_benchmarks/gcc-61383,26642,4369,487
c_benchmarks/gcc-61917,14428,3643,310
c_benchmarks/gcc-64990,19160,11301,535
c_benchmarks/gcc-65383,14151,2387,278
c_benchmarks/gcc-66186,23857,8645,587
c_benchmarks/gcc-66375,26619,11787,837
c_benchmarks/gcc-66412,34753,4171,718
c_benchmarks/gcc-66691,27672,4598,947
c_benchmarks/gcc-70127,37403,18447,666
c_benchmarks/gcc-70586,51140,18312,948
c_benchmarks/gcc-71626,3612,213,53
