framework,benchmark_type,metric,V-only,V+S,V+B,V+S+B,S_contribution,B_contribution,synergy,p_value_VS,p_value_VB,p_value_VSB,sample_size
HDD,c,time,0.0,0.9645493426436835,5.909803186120477,3.77481855411943,0.9645493426436835,5.909803186120477,-3.099533974644731,0.7434766118254434,0.0038633086327304186,0.05647740941722215,32
HDD,c,size,0.0,-3.220961612916051,0.22473838695237225,-0.10826692745735667,-3.220961612916051,0.22473838695237225,2.8879562985063223,0.5870446839025932,0.916511907863894,0.7265272954412638,32
HDD,c,query,0.0,0.9456552358272807,2.488928311020644,3.5739930533102093,0.9456552358272807,2.488928311020644,0.13940950646228467,0.07879850977147487,0.12987015331443963,0.1843021120208721,32
HDD,xml,time,0.0,0.3334088751413611,-6.231295018118788,-0.9739914992862309,0.3334088751413611,-6.231295018118788,4.923894643691195,0.21320068456736596,0.03241782097491788,0.010302543496942278,30
HDD,xml,size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30
HDD,xml,query,0.0,0.051276853701520686,-0.004969685841471616,-0.01714106119532488,0.051276853701520686,-0.004969685841471616,-0.06344822905537395,0.1365794180581274,0.31731050786291415,0.5190704177234672,30
Perses,c,time,0.0,-2.1160596121418296,1.3221562830471822,-3.434781582442903,-2.1160596121418296,1.3221562830471822,-2.6408782533482555,0.1781981568668186,0.39935551596284957,0.05527286421083603,32
Perses,c,size,0.0,-0.48724953798078285,-0.026862310336017714,-0.5642346926780117,-0.48724953798078285,-0.026862310336017714,-0.05012284436121117,0.28504940740261275,0.6547208460185769,0.14412703481601533,32
Perses,c,query,0.0,-0.669271831619267,-0.11219903999155623,-1.033753549221661,-0.669271831619267,-0.11219903999155623,-0.2522826776108378,0.07942758000809035,0.960899914574411,0.09982868428399214,32
Perses,xml,time,0.0,0.5499309339324854,-5.5952535629103295,0.5696091017117988,0.5499309339324854,-5.5952535629103295,5.6149317306896425,0.27911957715996105,0.013691345461625933,0.6885305376999826,30
Perses,xml,size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30
Perses,xml,query,0.0,-0.1293429089564757,-0.34226968521271495,0.3239605520315547,-0.1293429089564757,-0.34226968521271495,0.7955731462007454,0.09699254743694513,0.3320292982941151,0.5040164385244602,30
